iter	Logloss
0	0.6488818361
1	0.6149740591
2	0.5899425229
3	0.5687892801
4	0.5516139269
5	0.53910118
6	0.526440802
7	0.5153808908
8	0.5063999795
9	0.4972776403
10	0.4894614851
11	0.4842097196
12	0.4794666967
13	0.4732596824
14	0.4687107094
15	0.4640222928
16	0.460267553
17	0.4553176229
18	0.4523718599
19	0.4498828483
20	0.4479159938
21	0.4462254382
22	0.4434289211
23	0.4415094951
24	0.4396498925
25	0.4367034024
26	0.4344924201
27	0.4326358528
28	0.4308246164
29	0.4283374843
30	0.4264568034
31	0.4247320135
32	0.4235606347
33	0.4220705149
34	0.4200703874
35	0.4180886016
36	0.4164546705
37	0.4152830658
38	0.4134753034
39	0.4121167217
40	0.4108609687
41	0.4094339881
42	0.4081837101
43	0.4075498054
44	0.4066511185
45	0.4058255577
46	0.4050119289
47	0.4040414971
48	0.4029543457
49	0.4019612866
50	0.4010830687
51	0.3996379086
52	0.3988906507
53	0.3981824101
54	0.3975952741
55	0.3967306007
56	0.3957617274
57	0.3948807595
58	0.3936534201
59	0.3929385256
60	0.3916267944
61	0.3909048313
62	0.3902088521
63	0.3897980032
64	0.3888350142
65	0.3880925384
66	0.3868001053
67	0.3861521594
68	0.385141441
69	0.3840052442
70	0.3829726993
71	0.3822432263
72	0.3817608531
73	0.3811940742
74	0.3806247111
75	0.3793811252
76	0.3786898323
77	0.377677603
78	0.3771510634
79	0.3768099643
80	0.3758355794
81	0.3750448829
82	0.374073387
83	0.3732933645
84	0.3719156916
85	0.3709484366
86	0.3701106338
87	0.3693332931
88	0.3686339989
89	0.3676394035
90	0.3669751978
91	0.3662278088
92	0.3653608205
93	0.3647543106
94	0.363909412
95	0.363216544
96	0.3625859712
97	0.3623359425
98	0.3614243961
99	0.361131694
100	0.3605495447
101	0.3602470051
102	0.3591608193
103	0.3582803182
104	0.3577502955
105	0.3572641991
106	0.3559681856
107	0.3553941477
108	0.3539470704
109	0.3533724092
110	0.3528499636
111	0.352288306
112	0.3514198074
113	0.3504554452
114	0.3493178255
115	0.3482751537
116	0.3473219755
117	0.3465188776
118	0.34558511
119	0.3449758489
120	0.3441849317
121	0.34343857
122	0.3428832561
123	0.341919871
124	0.34117043
125	0.3404538422
126	0.3397528574
127	0.3391051146
128	0.3382087006
129	0.3369930615
130	0.3364592123
131	0.3357771433
132	0.3347872593
133	0.3339368623
134	0.3329506952
135	0.3318866685
136	0.3309882053
137	0.3302214493
138	0.329305642
139	0.3285946589
140	0.3278009187
141	0.3266711849
142	0.3256533696
143	0.3246645558
144	0.3236380739
145	0.3226784189
146	0.3212447743
147	0.3204724595
148	0.3194005403
149	0.3186086743
