iter	Passed	Remaining
0	149	22207
1	169	12572
2	191	9392
3	214	7838
4	238	6921
5	261	6269
6	284	5817
7	307	5464
8	330	5173
9	355	4972
10	379	4799
11	404	4647
12	430	4532
13	453	4402
14	480	4324
15	506	4243
16	530	4149
17	555	4073
18	578	3990
19	598	3891
20	617	3793
21	638	3714
22	660	3647
23	680	3573
24	701	3509
25	726	3465
26	748	3409
27	768	3347
28	790	3299
29	812	3250
30	833	3199
31	855	3154
32	876	3105
33	898	3064
34	925	3041
35	949	3007
36	974	2975
37	1002	2955
38	1025	2920
39	1047	2881
40	1072	2850
41	1095	2815
42	1117	2780
43	1136	2738
44	1157	2701
45	1179	2666
46	1200	2630
47	1221	2595
48	1244	2564
49	1265	2531
50	1286	2497
51	1307	2464
52	1328	2431
53	1350	2401
54	1377	2378
55	1401	2352
56	1422	2321
57	1443	2289
58	1464	2258
59	1485	2228
60	1507	2199
61	1528	2169
62	1549	2140
63	1571	2111
64	1592	2081
65	1613	2053
66	1637	2028
67	1657	1998
68	1677	1969
69	1702	1945
70	1722	1916
71	1744	1890
72	1764	1861
73	1786	1834
74	1807	1807
75	1839	1790
76	1864	1767
77	1885	1740
78	1906	1713
79	1923	1683
80	1945	1656
81	1967	1631
82	1989	1606
83	2011	1580
84	2036	1557
85	2058	1532
86	2080	1506
87	2104	1482
88	2125	1456
89	2147	1431
90	2168	1405
91	2188	1379
92	2211	1355
93	2233	1330
94	2254	1305
95	2276	1280
96	2302	1258
97	2324	1233
98	2350	1210
99	2370	1185
100	2390	1159
101	2411	1134
102	2433	1110
103	2455	1086
104	2477	1061
105	2499	1037
106	2521	1013
107	2543	988
108	2566	965
109	2586	940
110	2607	916
111	2630	892
112	2651	868
113	2673	844
114	2695	820
115	2716	796
116	2739	772
117	2766	750
118	2791	727
119	2813	703
120	2836	679
121	2858	656
122	2881	632
123	2903	608
124	2924	584
125	2945	561
126	2968	537
127	2988	513
128	3010	490
129	3034	466
130	3054	443
131	3077	419
132	3099	396
133	3120	372
134	3143	349
135	3165	325
136	3187	302
137	3211	279
138	3237	256
139	3262	233
140	3283	209
141	3308	186
142	3329	162
143	3351	139
144	3374	116
145	3397	93
146	3420	69
147	3441	46
148	3462	23
149	3484	0
